pergunta,resposta,categoria,ativo
"o que é a cabemce?","A Cabemce é a Caixa Beneficente dos Militares do Ceará instituição comprometida em oferecer suporte e benefícios exclusivos aos militares cearenses desde 5 de fevereiro de 1938. Somos essenciais na vida dos nossos associados oferecendo tranquilidade segurança e apoio em todos os momentos.","Empresa","sim"
"qual o horário?","Funcionamos de segunda a sexta 8:00 as 16:00.","Horarios","sim"
"onde fica?","Estamos localizados no centro domingos olimpios 60015103 N-1589","Endereços","sim"
"como entrar em contato?","Você pode nos contatar pelo whatsapp.","Contatos","sim"
"Quais atividades são realizadas pelo setor de planos de saúde da CABEMCE?","O setor de planos de saúde da CABEMCE realiza as seguintes atividades: inclusão de dependentes, mudança de plano e acomodação, exclusão de usuários dos Planos de Saúde (Unimed e Hapvide) e envia essas movimentações mensalmente para a SEPLAG.","serviços","sim"
"O que é o Pecúlio da CABEMCE?","Pecúlio é o benefício legado por morte do associado, a seus sucessores, no valor de 500 (quinhentas) vezes a última mensalidade paga, se por morte natural, a 1000 (mil) vezes se por morte violenta ou acidental.","serviços","sim"
"O que é o auxílio funeral da CABEMCE?","O Auxílio Funeral, será pago a quem tenha feito as despesas com o sepultamento de dependente do associado","serviços","sim"
"Quem pode receber assistência jurídica gratuita da CABEMCE?","A assistência jurídica gratuita da CABEMCE é oferecida não apenas aos associados, mas também ao cônjuge e aos dependentes dos associados.","serviços","sim"
"Quais áreas de assistência juridica são oferecidas pela CABEMCE?","A CABEMCE oferece assistência jurídica nas árcas Civel, Administrativa, Penal e Previdenciária.","serviços","sim"
"Quantos advogados compõem o setor jurídico da CABEMCE?","O setor jurídico da CABEMCE é composto por 15 advogados em Fortaleza e 3 advogados correspondentes em outras regiões do Ceará","serviços","sim"
"Qual é a finalidade do Setor Psicológico da CABEMCE?","O Setor Psicológico oferece atendimento especializado aos associados que enfrentam sofrimento psíquico, proporcionando um espaço de escuta e tratamento clínico individual.","serviços","sim"
"Qual é a abordagem utilizada no tratamento clínico do Setor Psicológico?","O tratamento clínico é baseado na Psicoterapia Breve Focal de base Psicanalítica, onde o cliente passa por entrevistas preliminares e estratégias são traçadas para elucidação ou diminuição de demandas conflitivas.","serviços","sim"
"Além do atendimento clínico individual, o Setor Psicológico realiza outras atividades?","Sim, o Setor Psicológico participa de atividades junto aos professores, pais de alunos da Creche Escola Tiradentes, além de promover palestras com o objetivo de promover uma melhor qualidade de vida aos associados.","serviços","sim"
"Onde está localizado o Setor Psicológico da CABEMCE?","O Setor Psicológico está localizado no terceiro andar do prédio da sede da CABEMCE.","serviços","sim"
"Qual é a função do serviço de nutrição da CABEMCE?","O serviço de nutrição tem como objetivo fornecer uma alimentação balanceada aos associados, suprindo suas necessidades calóricas e promovendo um bom desenvolvimento físico e mental.","serviços","sim"
"Quem pode ter acesso ao atendimento nutricional da CABEMCE?","O atendimento nutricional é disponibilizado tanto aos associados como aos seus dependentes.","serviços","sim"
"Onde ocorre o atendimento nutricional da CABEMCE?","O atendimento nutricional acontece na Creche Escola Tiradentes.","serviços","sim"
"Quais são os principais produtos oferecidos na Loja da CABEMCE?","A Loja da CABEMCE oferece fardamentos de Colégios Militares, Polícia Militar, Bombeiros, farda de gala, boinas, quepes, broches, carteiras, roupas anti-UV, botas, produtos ferrovia e muito mais.","loja","sim"
"Quais são as formas de pagamento aceitas na Loja da CABEMCE?","Você pode efetuar o pagamento à vista, em dinheiro, via PIX ou cartão de débito, ou parcelado no cartão de crédito.","loja","sim"
"Existe algum benefício exclusivo para os associados da CABEMCE ao fazer compras na loja?","Sim, os associados da CABEMCE têm um desconto de 15% em todas as compras realizadas na Loja.","loja","sim"
"Qual é o horário de funcionamento da Loja da CABEMCE?","A Loja da CABEMCE funciona de segunda a sexta-feira, das 8:00h às 16:00h.","loja","sim"
"Qual é a faixa etária das crianças atendidas pela Creche Escola Tiradentes?","A Creche Escola Tiradentes atende crianças na faixa etária de 2 a 5 anos.","creche","sim"
"Além das atividades pedagógicas, quais outros serviços são oferecidos pela Creche Escola Tiradentes?","Oferecemos acompanhamento nutricional, odontológico e psicológico para as crianças do Infantil II ao V. Também contamos com aulas de inglês, informática e lógica de programação para enriquecer o aprendizado.","creche","sim"
"Existe algum benefício específico para os alunos do Infantil V da Creche Escola Tiradentes?","Sim, os alunos do Infantil V recebem preparação especial para os concursos dos colégios militares da PM e BM, além de um acréscimo de um ponto na média final do concurso do colégio militar da PM.","creche","sim"
